brand,name,year,perfumer,gender,rating,rating_count,Scent,Scent_count,Longevity,Longevity_count,Sillage,Sillage_count,Value for money,Value for money_count,top_notes,heart_notes,base_notes,Type,Type_count,Season_count,Spring,Summer,Fall,Winter,Audience_count,Old,Young,Men,Women,Occasion_count,Leisure,Daily,Night Out,Business,Sport,Evening,text,img_url,Unnamed: 39,Unnamed: 40,url
Givenchy,Gentleman Givenchy Réserve Privée,2022,"['Nathalie Lorson', 'Olivier Cresp']",Male,8.1,217,8.6,239,8,221,7.7,218,7.9,191,['Italian bergamot'],"['Chestnut', 'Benzoin Siam']","['Virginia cedar', 'Haitian vetiver', 'Indonesian patchouli']","{'Floral': 5, 'Oriental': 5, 'Spicy': 16, 'Gourmand': 10, 'Sweet': 18, 'Creamy': 10, 'Woody': 16, 'Powdery': 15, 'Resinous': 5}",274,157,20,,40,39,129,25,23,52,,192,17,11,30,10,,31,Gentleman Givenchy Réserve Privée is a new perfume by Givenchy for men and was released in 2022. The scent is sweet-spicy. The longevity is above-average. It is being marketed by LVMH. PRONUNCIATION,https://pimages.parfumo.de/480/158077_img-4050-givenchy-gentleman-givenchy-eau-de-parfum-reserve-privee_480.jpg,,,https://www.parfumo.net/Perfumes/Givenchy/gentleman-givenchy-reserve-privee
Louis Vuitton,City of Stars,2022,['Jacques Cavallier-Belletrud'],Male,7.2,195,7.7,226,7.5,205,7,205,6.1,144,,,"['Blood orange', 'Lemon', 'Red mandarin orange', 'Bergamot', 'Lime', 'Tiaré', 'Sandalwood', 'Musk']","{'Floral': 19, 'Fruity': 13, 'Synthetic': 5, 'Creamy': 15, 'Fresh': 16, 'Citrus': 21, 'Sweet': 11}",253,127,43,48,9,,153,11,24,24,42,215,26,25,16,15,8,11,City of Stars is a new perfume by Louis Vuitton for women and men and was released in 2022. The scent is citrusy-floral. It is being marketed by LVMH. PRONUNCIATION,https://pimages.parfumo.de/480/167670_img-2443-louis-vuitton-city-of-stars_480.jpg,,,https://www.parfumo.net/Perfumes/Louis_Vuitton/city-of-stars
Giorgio Armani,Acqua di Giò pour Homme Eau de Parfum,2022,[],Male,7.2,190,7.9,218,7.2,193,6.7,190,6.9,161,"['Italian green mandarin orange', 'Marine notes']","['Provençal clary sage', 'Provençal lavender', 'Madagascan geranium']","['Guatemala patchouly', 'Haitian vetiver']","{'Fresh': 25, 'Woody': 9, 'Citrus': 18, 'Aquatic': 22, 'Fruity': 7, 'Spicy': 6, 'Green': 7, 'Synthetic': 6}",207,128,36,41,16,7,113,25,27,49,,208,24,24,7,23,15,7,Acqua di Giò pour Homme (Eau de Parfum) is a new perfume by Giorgio Armani for men and was released in 2022. The scent is fresh-aquatic. It is being marketed by L'Oréal.,https://pimages.parfumo.de/480/160300_img-8398-giorgio-armani-acqua-di-gio-pour-homme-eau-de-parfum_480.jpg,,,https://www.parfumo.net/Perfumes/Giorgio_Armani/acqua-di-gio-pour-homme-eau-de-parfum
Roja Parfums,Apex,2022,['Roja Dove'],Female,7,176,7.5,198,7.7,181,7.2,183,5,141,"['Lemon', 'Bergamot', 'Mandarin orange', 'Orange']","['Jasmine', 'Cistus', 'Pineapple']","['Galbanum', 'Elemi resin', 'Patchouli', 'Oakmoss', 'Rum', 'Tobacco', 'Cypress', 'Fir balsam', 'Juniper berry', 'Cashmere wood', 'Sandalwood', 'Benzoin', 'Amber', 'Frankincense', 'Labdanum', 'Leather', 'Ambergris', 'Musk']","{'Chypre': 7, 'Fougère': 7, 'Fruity': 5, 'Spicy': 16, 'Earthy': 5, 'Fresh': 13, 'Woody': 12, 'Citrus': 11, 'Green': 18, 'Resinous': 6}",231,132,35,25,27,13,93,38,10,53,,158,25,21,13,23,5,14,Apex is a new perfume by Roja Parfums for men and was released in 2022. The scent is green-spicy. PRONUNCIATION,https://pimages.parfumo.de/480/165208_img-6247-roja-parfums-apex_480.jpg,,,https://www.parfumo.net/Perfumes/Roja_Parfums/apex
Hermès,Terre d'Hermès Eau Givrée,2022,['Christine Nagel'],Male,7.5,150,8.3,180,7.2,151,6.9,152,7.4,115,,,"['Citron', 'Juniper berry', 'Nepalese Sichuan pepper']","{'Woody': 18, 'Citrus': 23, 'Green': 9, 'Fresh': 22, 'Spicy': 13, 'Earthy': 10, 'Fruity': 5}",184,107,36,40,18,7,97,27,24,45,4,156,26,28,9,21,12,6,Terre d'Hermès Eau Givrée is a new perfume by Hermès for men and was released in 2022. The scent is citrusy-fresh. PRONUNCIATION,https://pimages.parfumo.de/480/164275_img-5053-hermes-terre-d-hermes-eau-givree_480.jpg,,,https://www.parfumo.net/Perfumes/Hermes/terre-d-hermes-eau-givree
Narciso Rodriguez,For Her Musc Noir Rose,2022,['Sonia Constant'],Female,7.5,128,8.1,154,7.2,136,7,135,7.4,89,"['Italian bergamot', 'Pink pepper', 'Plum']","['Musk', 'Rose', 'Tuberose']",['Vanilla'],"{'Fruity': 19, 'Spicy': 10, 'Sweet': 23, 'Floral': 22, 'Powdery': 12, 'Synthetic': 5, 'Creamy': 9}",194,141,28,13,33,25,94,17,28,,55,167,25,21,19,18,,17,For Her Musc Noir Rose is a new perfume by Narciso Rodriguez for women and was released in 2022. The scent is sweet-floral. It is being marketed by Shiseido Group / Beauté Prestige International.,https://pimages.parfumo.de/480/160288_img-4170-narciso-rodriguez-for-her-musc-noir-rose_480.jpg,,,https://www.parfumo.net/Perfumes/Narciso_Rodriguez/for-her-musc-noir-rose
Chloé,Nomade Eau de Parfum Naturelle,2022,['Caroline Dumur'],Female,7.6,113,8.1,134,7.6,117,7.1,118,7.6,84,"['Bergamot', 'Egyptian jasmine absolute']",['Date'],"['Bourbon vanilla', 'Sandalwood']","{'Fresh': 5, 'Woody': 8, 'Powdery': 8, 'Creamy': 12, 'Floral': 16, 'Fruity': 10, 'Oriental': 8, 'Spicy': 11, 'Gourmand': 4, 'Sweet': 18}",205,107,34,27,27,12,83,22,25,,53,133,29,24,14,20,,14,Nomade (Eau de Parfum Naturelle) is a new perfume by Chloé for women and was released in 2022. The scent is sweet-floral. It is being marketed by Coty.,https://pimages.parfumo.de/480/160840_img-8768-chloe-nomade-eau-de-parfum-naturelle_480.jpg,,,https://www.parfumo.net/Perfumes/Chloe/nomade-eau-de-parfum-naturelle
Guerlain,Aqua Allegoria Nerolia Vetiver,2022,"['Delphine Jelk', 'Thierry Wasser']",Female,6.9,102,7.5,122,6.8,108,6.3,107,7,71,,,"['Calabrian neroli', 'Basil', 'Fig', 'Vetiver']","{'Green': 23, 'Sweet': 6, 'Floral': 10, 'Fruity': 6, 'Citrus': 16, 'Creamy': 8, 'Fresh': 21, 'Spicy': 11}",181,98,40,46,9,5,115,19,17,23,41,154,27,25,7,22,11,7,Aqua Allegoria Nerolia Vetiver is a new perfume by Guerlain for women and was released in 2022. The scent is green-fresh. It is being marketed by LVMH.,https://pimages.parfumo.de/480/160870_img-2512-guerlain-aqua-allegoria-nerolia-vetiver_480.jpg,,,https://www.parfumo.net/Perfumes/Guerlain/aqua-allegoria-nerolia-vetiver
Jean Paul Gaultier,La Belle Fleur Terrible,2022,['Quentin Bisch'],Female,7.4,100,7.1,120,7.9,105,7.6,103,6.9,73,,,"['Bergamot', 'Ginger', 'Blue lotus', 'Ylang-ylang', 'Iris', 'Heliotrope', 'Almond', 'Vanilla', 'Woody notes']","{'Fresh': 11, 'Powdery': 7, 'Aquatic': 13, 'Synthetic': 7, 'Creamy': 7, 'Floral': 20, 'Fruity': 12, 'Sweet': 24}",164,80,43,48,10,,81,11,36,,53,130,31,24,15,14,5,12,La Belle Fleur Terrible is a new and limited perfume by Jean Paul Gaultier for women and was released in 2022. The scent is sweet-floral. It is being marketed by Puig. PRONUNCIATION LIMITED EDITION,https://pimages.parfumo.de/480/161044_img-7369-jean-paul-gaultier-la-belle-fleur-terrible_480.jpg,,,https://www.parfumo.net/Perfumes/Jean_Paul_Gaultier/la-belle-fleur-terrible
Roja Parfums,Oligarch Parfum,2022,['Roja Dove'],Male,8,109,9.1,119,8.7,113,7.9,114,6,90,"['Bergamot', 'Lavender', 'Lime', 'Lemon', 'Thyme']","['Orange blossom', 'Grasse jasmine', 'Coconut', 'Lily', 'Champaca flower', 'Blackcurrant', 'Apple']","['Grass', 'Maté', 'Galbanum', 'Pink pepper', 'Aniseed', 'Patchouli', 'Oakmoss', 'Cedarwood', 'Juniper berry', 'Vanilla', 'Tonka bean', 'Amber', 'Iris', 'Birch', 'Leather', 'Ambergris', 'Musk']","{'Floral': 8, 'Fruity': 11, 'Spicy': 18, 'Fresh': 20, 'Woody': 11, 'Citrus': 16, 'Green': 9, 'Sweet': 5}",122,79,35,30,23,11,58,29,17,53,,102,17,19,23,24,,19,Oligarch (Parfum) is a new perfume by Roja Parfums for men and was released in 2022. The scent is fresh-spicy. The longevity is above-average.,https://pimages.parfumo.de/480/160177_img-6595-roja-parfums-oligarch-parfum_480.jpg,,,https://www.parfumo.net/Perfumes/Roja_Parfums/oligarch-parfum
Guerlain,Musc Outreblanc,2022,['Delphine Jelk'],Male,6.8,91,7.9,113,6.9,100,6,100,5.6,50,"['White musk', 'Ambrette seed', 'Neroli']","['Orange blossom absolute', 'Bulgarian rose', 'Iris pallida']","['White amber', 'Sandalwood']","{'Floral': 22, 'Woody': 5, 'Citrus': 6, 'Sweet': 6, 'Fresh': 25, 'Powdery': 15, 'Synthetic': 5, 'Creamy': 16}",185,140,34,29,21,16,124,21,16,23,40,180,25,26,8,26,6,9,Musc Outreblanc is a new perfume by Guerlain for women and men and was released in 2022. The scent is fresh-floral. It is being marketed by LVMH.,https://pimages.parfumo.de/480/157789_img-1202-guerlain-musc-outreblanc_480.jpg,,,https://www.parfumo.net/Perfumes/Guerlain/musc-outreblanc
Paco Rabanne,1 Million Elixir,2022,"['Christophe Raynaud', 'Quentin Bisch']",Female,7.5,94,7.1,106,8.3,94,8,96,6.6,79,"['Apple', 'Davana']","['Turkish rose', 'Osmanthus', 'Tonka bean']","['Davana', 'Patchouli', 'Cedarwood', 'Vanilla']","{'Fruity': 16, 'Oriental': 10, 'Sweet': 25, 'Floral': 7, 'Woody': 5, 'Spicy': 9, 'Gourmand': 8, 'Synthetic': 15, 'Creamy': 5}",87,49,24,,41,35,45,7,40,40,13,47,15,9,36,6,,34,1 Million Elixir is a new perfume by Paco Rabanne for men and was released in 2022. The scent is sweet-fruity. The longevity is above-average. It is being marketed by Puig.,https://pimages.parfumo.de/480/159733_img-2952-paco-rabanne-1-million-elixir_480.jpg,,,https://www.parfumo.net/Perfumes/Paco_Rabanne/1-million-elixir
Marc-Antoine Barrois,Encelade,2022,['Quentin Bisch'],Male,8.2,88,8.1,103,8.8,95,8.2,95,7.5,58,,,"['Rhubarb', 'Cedar', 'Vetiver', 'Sandalwood', 'Tonka bean', 'Leather']","{'Fresh': 6, 'Woody': 19, 'Oriental': 5, 'Creamy': 7, 'Fruity': 13, 'Leathery': 13, 'Spicy': 16, 'Green': 12, 'Sweet': 10}",151,110,27,18,28,26,79,23,16,42,19,125,24,16,22,15,,22,Encelade is a new perfume by Marc-Antoine Barrois for women and men and was released in 2022. The scent is woody-spicy. Projection and longevity are above-average.,https://pimages.parfumo.de/480/171198_img-1280-marc-antoine-barrois-encelade_480.jpg,,,https://www.parfumo.net/Perfumes/Marc_Antoine_Barrois/encelade
